Teacher ID,Teacher Name,Year,Strand,Class Size,Average Grades of Students,Classroom Observation Scores,Teacher Evaluation Scores
T-001,Jane Doe,2021,STEM,30,85,4,90
T-002,John Smith,2021,ABM,25,88,5,92
T-003,Alice Johnson,2022,GAS,28,82,3,88
T-004,Bob Brown,2022,HUMSS,35,79,4,85
T-005,Carol White,2023,ICT,22,90,5,95
T-006,David Green,2023,STEM,40,75,3,80
T-007,Eva Black,2021,ABM,18,92,5,96
T-008,Frank Blue,2022,GAS,33,78,4,83
T-009,Grace Yellow,2023,HUMSS,27,85,4,89
T-010,Hank Orange,2021,ICT,20,88,5,91
